Stunde;Außen-temperatur;Absolute Feuchtigkeit;Entfeuchtungs-leistung (bei 26°C);Heizleistung;Kühlleistung;Gesamt-leistung
hh;°C;g/kg;kW;kW;kW;kW
1;4,8;5,05;0,00;81,49;0,00;81,49
2;4,8;4,57;0,00;81,49;0,00;81,49
3;4,6;4,43;0,00;82,56;0,00;82,56
4;4,5;4,38;0,00;83,10;0,00;83,10
5;4,4;4,31;0,00;83,64;0,00;83,64
6;4,4;4,37;0,00;83,64;0,00;83,64
7;4,3;4,29;0,00;75,49;0,00;75,49
8;4,3;4,21;0,00;65,71;0,00;65,71
9;4,7;4,27;0,00;0,00;0,16;0,16
10;6,4;4,41;0,00;0,00;0,55;0,55
11;7,8;4,19;0,00;0,00;0,61;0,61
12;9;4,24;0,00;0,00;1,09;1,09
13;9,7;4,27;0,00;0,00;0,77;0,77
14;10;4,18;0,00;0,00;0,95;0,95
15;9,8;4,18;0,00;0,00;0,56;0,56
16;9,2;4,27;0,00;0,00;0,63;0,63
17;8,3;4,26;0,00;0,00;0,12;0,12
18;7,7;4,21;0,00;0,00;0,00;0,00
19;7,1;5,12;0,00;0,00;1,15;1,15
20;6,6;5,71;0,00;0,00;0,90;0,90
21;6;5,49;0,00;0,00;0,76;0,76
22;5,4;5,28;0,00;0,00;0,68;0,68
23;4,9;5,07;0,00;0,00;0,00;0,00
24;4,3;4,87;0,00;0,00;0,00;0,00
25;3,1;4,49;0,00;0,00;0,00;0,00
26;1,9;4,1;0,00;0,00;0,00;0,00
27;0,6;3,73;0,00;0,00;0,00;0,00
28;0,1;3,55;0,00;0,00;0,00;0,00
29;0,8;3,37;0,00;0,00;0,00;0,00
30;1,5;2,74;0,00;0,00;0,00;0,00
31;2,1;2,66;0,00;0,00;0,00;0,00
32;2,6;2,51;0,00;46,98;0,00;46,98
33;2,1;2,57;0,00;0,00;0,12;0,12
34;0,1;2,86;0,00;0,00;0,14;0,14
35;1,5;2,99;0,00;0,00;0,13;0,13
36;2,6;3,17;0,00;0,00;0,00;0,00
37;3,3;3,19;0,00;0,00;0,68;0,68
38;3,5;3,2;0,00;0,00;0,83;0,83
39;3,3;3,35;0,00;0,00;0,72;0,72
40;2,3;3,35;0,00;0,00;0,12;0,12
41;1;3,29;0,00;0,35;0,00;0,35
42;0,4;3,4;0,00;0,25;0,00;0,25
43;0,2;3,14;0,00;0,26;0,00;0,26
44;0,7;3,15;0,00;0,50;0,00;0,50
45;1,3;3,31;0,00;0,56;0,00;0,56
46;1,9;3,36;0,00;0,64;0,00;0,64
47;2,5;3,21;0,00;35,89;0,00;35,89
48;3;3,22;0,00;123,31;0,00;123,31
49;3,1;3,13;0,00;123,84;0,00;123,84
50;3,1;3,15;0,00;123,84;0,00;123,84
51;3,1;3,2;0,00;123,84;0,00;123,84
52;3,1;3,2;0,00;123,84;0,00;123,84
53;3,1;3,21;0,00;123,84;0,00;123,84
54;3;3,22;0,00;123,31;0,00;123,31
55;3;3,23;0,00;117,40;0,00;117,40
56;2,9;3,25;0,00;110,84;0,00;110,84
57;2,5;3,36;0,00;36,67;0,00;36,67
58;0,5;3,77;0,00;0,00;2,05;2,05
59;2,5;3,75;0,00;0,00;2,25;2,25
60;4,3;3,88;0,00;0,00;2,31;2,31
61;5,7;4,01;0,00;0,00;0,88;0,88
62;6,4;4,18;0,00;0,00;0,17;0,17
63;6,9;4,15;0,00;0,00;1,50;1,50
64;5,9;3,87;0,00;0,00;1,23;1,23
65;4,4;3,77;0,00;0,00;0,00;0,00
66;3,8;3,8;0,00;0,17;0,00;0,17
67;3,3;3,89;0,00;0,00;1,11;1,11
68;2,7;3,75;0,00;0,00;1,11;1,11
69;2,1;3,78;0,00;0,00;0,85;0,85
70;1,6;3,78;0,00;0,00;0,00;0,00
71;1;3,74;0,00;0,16;0,00;0,16
72;0,4;3,67;0,00;0,00;0,00;0,00
73;0,4;3,42;0,00;0,00;0,00;0,00
74;1,3;3,28;0,00;0,00;0,00;0,00
75;2,3;3,07;0,00;0,00;0,00;0,00
76;2,8;3,02;0,00;0,00;0,00;0,00
77;3,3;3,03;0,00;0,00;0,00;0,00
78;3,7;2,94;0,00;0,00;0,00;0,00
79;4,1;2,88;0,00;24,65;0,00;24,65
80;4,4;2,82;0,00;113,48;0,00;113,48
81;3,8;2,88;0,00;0,00;0,37;0,37
82;1;3,25;0,00;0,00;0,80;0,80
83;1,3;3,45;0,00;0,00;0,90;0,90
84;3;3,55;0,00;0,00;1,35;1,35
85;4,1;3,68;0,00;0,00;0,97;0,97
86;4,6;3,8;0,00;0,00;1,03;1,03
87;4,5;3,66;0,00;0,00;0,68;0,68
88;3,4;3,55;0,00;0,00;0,75;0,75
89;1,7;3,27;0,00;0,27;0,00;0,27
90;1;3,4;0,00;0,29;0,00;0,29
91;0,4;3,54;0,00;0,13;0,00;0,13
92;0,3;3,41;0,00;0,15;0,00;0,15
93;0,9;3,38;0,00;0,24;0,00;0,24
94;1,5;3,25;0,00;0,23;0,00;0,23
95;2,2;3,12;0,00;0,00;0,00;0,00
96;2,8;3,15;0,00;0,00;0,00;0,00
97;3,2;2,91;0,00;0,00;0,00;0,00
98;3,6;2,82;0,00;0,00;0,00;0,00
99;4;2,78;0,00;0,00;0,00;0,00
100;4,2;2,71;0,00;38,22;0,00;38,22
101;4,4;2,69;0,00;130,81;0,00;130,81
102;4,6;2,74;0,00;131,89;0,00;131,89
103;4,7;2,64;0,00;124,88;0,00;124,88
104;4,8;2,61;0,00;115,75;0,00;115,75
105;4,1;2,7;0,00;0,00;0,15;0,15
106;1,6;2,89;0,00;0,00;0,53;0,53
107;0,7;3,09;0,00;0,00;0,71;0,71
108;2,6;3,26;0,00;0,00;1,22;1,22
109;3,9;3,22;0,00;0,00;0,90;0,90
110;4,3;3,36;0,00;0,00;0,85;0,85
111;4,2;3,28;0,00;0,00;0,55;0,55
112;3,2;3,27;0,00;0,00;0,57;0,57
113;1,6;3,04;0,00;0,26;0,00;0,26
114;1,1;2,88;0,00;0,30;0,00;0,30
115;0,5;2,8;0,00;0,15;0,00;0,15
116;0;2,77;0,00;0,19;0,00;0,19
117;0,6;2,81;0,00;0,25;0,00;0,25
118;1,1;2,73;0,00;0,20;0,00;0,20
119;1,7;2,64;0,00;0,00;0,00;0,00
120;2,3;2,61;0,00;0,00;0,00;0,00
121;2,9;2,43;0,00;0,00;0,00;0,00
122;3,5;2,28;0,00;0,00;0,00;0,00
123;4,2;2,2;0,00;88,78;0,00;88,78
124;4,6;2,16;0,00;131,89;0,00;131,89
125;4,9;2,2;0,00;133,49;0,00;133,49
126;5,3;2,08;0,00;135,64;0,00;135,64
127;5,6;2,11;0,00;129,82;0,00;129,82
128;5,8;2,06;0,00;122,83;0,00;122,83
129;5,4;2,24;0,00;0,00;0,10;0,10
130;3,7;2,29;0,00;0,00;0,43;0,43
131;2,2;2,36;0,00;0,00;0,50;0,50
132;1,1;2,37;0,00;0,00;0,69;0,69
133;0,3;2,51;0,00;0,00;0,47;0,47
134;0;2,8;0,00;0,00;0,51;0,51
135;0,3;2,73;0,00;0,00;0,17;0,17
136;1,1;2,6;0,00;0,00;0,11;0,11
137;2,2;2,53;0,00;0,45;0,00;0,45
138;2,5;2,4;0,00;0,41;0,00;0,41
139;2,7;2,43;0,00;0,33;0,00;0,33
140;3;2,45;0,00;0,34;0,00;0,34
141;3,3;2,45;0,00;0,35;0,00;0,35
142;3,5;2,46;0,00;0,27;0,00;0,27
143;3,8;2,35;0,00;76,05;0,00;76,05
144;4,1;2,26;0,00;87,61;0,00;87,61
145;4,1;2,28;0,00;129,21;0,00;129,21
146;4,1;2,35;0,00;129,21;0,00;129,21
147;4,1;2,38;0,00;129,21;0,00;129,21
148;4;2,28;0,00;128,67;0,00;128,67
149;4;2,38;0,00;128,67;0,00;128,67
150;3,9;2,4;0,00;128,13;0,00;128,13
151;3,9;2,43;0,00;116,65;0,00;116,65
152;3,8;2,4;0,00;106,23;0,00;106,23
153;3,3;2,48;0,00;0,00;0,00;0,00
154;1,4;2,62;0,00;0,00;0,62;0,62
155;0,2;3,3;0,00;0,00;0,63;0,63
156;1,1;3,75;0,00;0,00;1,35;1,35
157;1,9;3,15;0,00;0,00;1,06;1,06
158;2,4;2,96;0,00;0,00;0,52;0,52
159;2,5;2,98;0,00;0,00;0,23;0,23
160;2;2,88;0,00;0,00;0,33;0,33
161;0,7;3,45;0,00;0,30;0,00;0,30
162;0,5;3,72;0,00;0,29;0,00;0,29
163;0,1;3,57;0,00;0,00;0,47;0,47
164;0,7;3,42;0,00;0,00;0,46;0,46
165;1,2;3,28;0,00;0,00;0,24;0,24
166;1,8;3,15;0,00;0,22;0,00;0,22
167;2,4;3,01;0,00;0,00;0,00;0,00
168;3;2,77;0,00;0,00;0,00;0,00
169;3,8;2,71;0,00;0,00;0,00;0,00
170;4,7;2,53;0,00;58,14;0,00;58,14
171;5,6;2,36;0,00;137,25;0,00;137,25
172;6,1;2,28;0,00;139,93;0,00;139,93
173;6,6;2,25;0,00;142,61;0,00;142,61
174;7;2,2;0,00;144,75;0,00;144,75
175;7,4;2,19;0,00;139,70;0,00;139,70
176;7,7;2,15;0,00;132,23;0,00;132,23
177;7;2,16;0,00;0,00;0,13;0,13
178;4,2;2,52;0,00;0,00;0,48;0,48
179;1,9;2,29;0,00;0,00;0,57;0,57
180;0;2,43;0,00;0,00;0,98;0,98
181;1,2;2,56;0,00;0,00;0,66;0,66
182;1,8;2,72;0,00;0,00;0,88;0,88
183;1,7;2,59;0,00;0,00;0,57;0,57
184;0,6;2,5;0,00;0,00;0,61;0,61
185;1,1;2,42;0,00;0,41;0,00;0,41
186;1,9;2,39;0,00;0,43;0,00;0,43
187;2,6;2,25;0,00;0,00;0,00;0,00
188;3,4;2,2;0,00;0,18;0,00;0,18
189;4,1;2,21;0,00;0,35;0,00;0,35
190;4,9;2,23;0,00;0,32;0,00;0,32
191;5,6;2,25;0,00;0,00;0,00;0,00
192;6,4;2,2;0,00;0,00;0,00;0,00
193;6,9;2,3;0,00;0,00;0,00;0,00
194;7,5;2,23;0,00;43,99;0,00;43,99
195;8;2,13;0,00;150,11;0,00;150,11
196;8,3;2,06;0,00;151,72;0,00;151,72
197;8,6;1,99;0,00;153,33;0,00;153,33
198;8,9;1,93;0,00;154,94;0,00;154,94
199;9,1;1,96;0,00;154,13;0,00;154,13
200;9,4;1,97;0,00;150,06;0,00;150,06
201;8,5;2,11;0,00;0,00;0,00;0,00
202;5,9;2,23;0,00;0,00;0,00;0,00
203;3,5;2,47;0,00;0,00;0,00;0,00
204;1,8;2,52;0,00;0,00;0,00;0,00
205;0,5;2,54;0,00;0,00;0,00;0,00
206;0,2;2,52;0,00;0,00;0,00;0,00
207;0,1;2,47;0,00;0,00;0,00;0,00
208;0,9;2,64;0,00;0,00;0,15;0,15
209;2,6;2,56;0,00;0,45;0,00;0,45
210;3;2,5;0,00;76,60;0,00;76,60
211;3,4;2,59;0,00;37,00;0,00;37,00
212;3,8;2,55;0,00;0,00;0,00;0,00
213;4,2;2,65;0,00;0,00;0,00;0,00
214;4,6;2,69;0,00;2,90;0,00;2,90
215;5;2,67;0,00;68,09;0,00;68,09
216;5,4;2,6;0,00;136,17;0,00;136,17
217;5,6;2,52;0,00;137,25;0,00;137,25
218;5,9;2,51;0,00;138,86;0,00;138,86
219;6,1;2,56;0,00;139,93;0,00;139,93
220;6,2;2,54;0,00;140,46;0,00;140,46
221;6,3;2,52;0,00;141,00;0,00;141,00
222;6,4;2,5;0,00;141,54;0,00;141,54
223;6,4;2,49;0,00;135,80;0,00;135,80
224;6,5;2,41;0,00;126,64;0,00;126,64
225;5,4;2,54;0,00;0,00;0,30;0,30
226;4;2,76;0,00;0,00;0,26;0,26
227;2,8;2,95;0,00;0,00;1,44;1,44
228;1;3,03;0,00;0,00;1,75;1,75
229;0,3;3,16;0,00;0,00;1,44;1,44
230;1,3;3,16;0,00;0,00;0,00;0,00
231;1,5;3,1;0,00;0,00;0,99;0,99
232;2;2,95;0,00;0,00;0,00;0,00
233;2,9;2,94;0,00;0,72;0,00;0,72
234;3,2;2,85;0,00;0,24;0,00;0,24
235;3,5;2,85;0,00;0,72;0,00;0,72
236;3,7;2,81;0,00;0,73;0,00;0,73
237;4;2,86;0,00;0,77;0,00;0,77
238;4,3;2,75;0,00;0,40;0,00;0,40
239;4,5;2,51;0,00;102,77;0,00;102,77
240;4,8;2,34;0,00;132,34;0,00;132,34
241;5,2;2,27;0,00;135,10;0,00;135,10
242;5,6;2,26;0,00;137,25;0,00;137,25
243;5,9;2,21;0,00;138,86;0,00;138,86
244;6,1;2,23;0,00;139,93;0,00;139,93
245;6,3;2,23;0,00;141,00;0,00;141,00
246;6,4;2,31;0,00;141,54;0,00;141,54
247;6,5;2,29;0,00;130,87;0,00;130,87
248;6,6;2,26;0,00;122,09;0,00;122,09
249;5,9;2,22;0,00;0,00;0,00;0,00
250;3,2;2,47;0,00;0,00;0,52;0,52
251;0,9;2,56;0,00;0,00;0,63;0,63
252;0,8;2,62;0,00;0,00;1,09;1,09
253;2,1;2,68;0,00;0,00;0,81;0,81
254;2,8;2,67;0,00;0,00;0,91;0,91
255;2,9;2,71;0,00;0,00;0,57;0,57
256;2,1;2,74;0,00;0,00;0,62;0,62
257;0,5;2,58;0,00;0,29;0,00;0,29
258;0,3;2,44;0,00;0,33;0,00;0,33
259;1,1;2,39;0,00;0,18;0,00;0,18
260;1,9;2,28;0,00;0,23;0,00;0,23
261;2,7;2,29;0,00;0,30;0,00;0,30
262;3,5;2,22;0,00;0,30;0,00;0,30
263;4,3;2,16;0,00;0,00;0,00;0,00
264;5;2,1;0,00;0,00;0,00;0,00
265;6;2,09;0,00;0,00;0,00;0,00
266;7;2,05;0,00;84,71;0,00;84,71
267;8,1;1,97;0,00;150,65;0,00;150,65
268;8,7;1,94;0,00;153,87;0,00;153,87
269;9,3;1,84;0,00;157,08;0,00;157,08
270;9,9;1,83;0,00;160,30;0,00;160,30
271;10,4;1,83;0,00;152,38;0,00;152,38
272;10,8;1,77;0,00;146,07;0,00;146,07
273;10,8;1,76;0,00;70,27;0,00;70,27
274;10;1,81;0,00;0,00;0,85;0,85
275;9,3;1,81;0,00;0,23;0,00;0,23
276;8,8;1,83;0,00;0,00;1,20;1,20
277;8,5;1,77;0,00;0,00;0,00;0,00
278;8,5;1,8;0,00;0,00;0,00;0,00
279;8,7;1,79;0,00;0,22;0,00;0,22
280;9,2;1,7;0,00;0,00;0,37;0,37
281;9,9;1,76;0,00;0,84;0,00;0,84
282;10,3;1,7;0,00;15,30;0,00;15,30
283;10,8;1,65;0,00;72,37;0,00;72,37
284;11,2;1,65;0,00;71,97;0,00;71,97
285;11,8;1,59;0,00;88,06;0,00;88,06
286;12,1;1,57;0,00;89,31;0,00;89,31
287;12,5;1,52;0,00;118,30;0,00;118,30
288;13;1,46;0,00;136,90;0,00;136,90
289;12,8;1,48;0,00;175,85;0,00;175,85
290;12,7;1,49;0,00;175,31;0,00;175,31
291;12,4;1,54;0,00;173,70;0,00;173,70
292;12,2;1,55;0,00;172,63;0,00;172,63
293;12,1;1,57;0,00;172,10;0,00;172,10
294;11,9;1,59;0,00;171,02;0,00;171,02
295;11,8;1,61;0,00;160,10;0,00;160,10
296;11,7;1,63;0,00;147,58;0,00;147,58
297;11,3;1,68;0,00;86,85;0,00;86,85
298;10,6;1,76;0,00;32,69;0,00;32,69
299;9;1,91;0,00;0,00;0,53;0,53
300;7,3;2,05;0,00;0,00;0,10;0,10
301;5,3;2,22;0,00;0,00;0,28;0,28
302;4;2,32;0,00;0,00;0,43;0,43
303;2,8;2,25;0,00;0,00;0,45;0,45
304;2,7;2,23;0,00;0,00;0,54;0,54
305;4;2,17;0,00;0,52;0,00;0,52
306;4,3;2,1;0,00;0,47;0,00;0,47
307;4,6;2,14;0,00;0,43;0,00;0,43
308;4,9;2,15;0,00;0,42;0,00;0,42
309;5,2;2,09;0,00;0,48;0,00;0,48
310;5,5;2,23;0,00;36,44;0,00;36,44
311;5,8;2,16;0,00;76,63;0,00;76,63
312;6,1;2,1;0,00;98,69;0,00;98,69
313;6,8;2,04;0,00;143,68;0,00;143,68
314;7,5;1,9;0,00;147,43;0,00;147,43
315;8,1;1,94;0,00;150,65;0,00;150,65
316;8,5;1,9;0,00;152,79;0,00;152,79
317;8,9;1,87;0,00;154,94;0,00;154,94
318;9,2;1,79;0,00;156,55;0,00;156,55
319;9,5;1,77;0,00;147,42;0,00;147,42
320;9,7;1,76;0,00;136,02;0,00;136,02
321;9,1;1,8;0,00;15,22;0,00;15,22
322;6,8;1,89;0,00;0,00;1,75;1,75
323;4,8;2,1;0,00;0,00;0,35;0,35
324;3,1;2,16;0,00;0,00;0,76;0,76
325;1,8;2,13;0,00;0,00;0,64;0,64
326;1;2,14;0,00;0,00;0,71;0,71
327;0,9;2,15;0,00;0,00;0,41;0,41
328;1,7;2,13;0,00;0,00;0,48;0,48
329;3,2;2,03;0,00;0,49;0,00;0,49
330;3,8;2,02;0,00;0,46;0,00;0,46
331;4,3;1,93;0,00;0,00;0,33;0,33
332;4,9;1,99;0,00;0,00;0,30;0,30
333;5,4;1,92;0,00;0,00;0,00;0,00
334;6;1,96;0,00;0,45;0,00;0,45
335;6,5;1,93;0,00;0,50;0,00;0,50
336;7,1;1,93;0,00;0,00;0,00;0,00
337;7,5;1,98;0,00;0,00;0,00;0,00
338;7,9;1,92;0,00;56,51;0,00;56,51
339;8,3;1,86;0,00;151,72;0,00;151,72
340;8,6;1,72;0,00;153,33;0,00;153,33
341;8,8;1,79;0,00;154,40;0,00;154,40
342;9;1,68;0,00;155,48;0,00;155,48
343;9,2;1,57;0,00;145,86;0,00;145,86
344;9,3;1,52;0,00;133,75;0,00;133,75
345;8,7;1,64;0,00;13,14;0,00;13,14
346;6,8;1,75;0,00;0,00;1,15;1,15
347;5,1;1,92;0,00;0,00;0,14;0,14
348;4;2,07;0,00;0,00;0,42;0,42
349;3,2;2,14;0,00;0,00;0,30;0,30
350;2,9;2,1;0,00;0,00;0,36;0,36
351;3,1;2,21;0,00;0,00;0,00;0,00
352;3,8;2,05;0,00;0,00;0,00;0,00
353;5;2,01;0,00;0,57;0,00;0,57
354;5,3;1,89;0,00;0,57;0,00;0,57
355;5,5;1,82;0,00;0,00;0,00;0,00
356;5,9;2,22;0,00;0,15;0,00;0,15
357;6,1;2,28;0,00;0,29;0,00;0,29
358;6,4;2,23;0,00;0,20;0,00;0,20
359;6,7;2,19;0,00;0,43;0,00;0,43
360;7;2,14;0,00;85,63;0,00;85,63
361;7,6;2,04;0,00;147,97;0,00;147,97
362;8,2;1,95;0,00;151,19;0,00;151,19
363;7,8;2,01;0,00;149,04;0,00;149,04
364;7,8;2,01;0,00;149,04;0,00;149,04
365;7,8;1,94;0,00;149,04;0,00;149,04
366;7,8;1,94;0,00;149,04;0,00;149,04
367;7,8;2,08;0,00;147,13;0,00;147,13
368;7,8;2,05;0,00;137,36;0,00;137,36
369;7,5;2,07;0,00;95,16;0,00;95,16
370;7,3;2,07;0,00;89,22;0,00;89,22
371;7;2,18;0,00;87,83;0,00;87,83
372;6,7;2,32;0,00;87,28;0,00;87,28
373;6,6;2,29;0,00;93,42;0,00;93,42
374;4,1;2,55;0,00;0,00;0,77;0,77
375;2,7;2,28;0,00;0,00;0,00;0,00
376;2,3;2,32;0,00;0,00;0,25;0,25
377;3,1;2,38;0,00;0,49;0,00;0,49
378;3,3;2,33;0,00;0,36;0,00;0,36
379;3,5;2,4;0,00;0,24;0,00;0,24
380;3,8;2,62;0,00;0,00;0,00;0,00
381;4;2,58;0,00;0,00;0,00;0,00
382;4,3;2,52;0,00;0,00;0,00;0,00
383;4,4;2,49;0,00;28,90;0,00;28,90
384;4,6;2,55;0,00;131,89;0,00;131,89
385;5;2,49;0,00;134,03;0,00;134,03
386;5,3;2,43;0,00;135,64;0,00;135,64
387;5,6;2,37;0,00;137,25;0,00;137,25
388;5,8;2,34;0,00;138,32;0,00;138,32
389;5,9;2,31;0,00;138,86;0,00;138,86
390;6,1;2,38;0,00;139,93;0,00;139,93
391;6,2;2,44;0,00;138,50;0,00;138,50
392;6,3;2,46;0,00;133,33;0,00;133,33
393;5,3;2,52;0,00;0,00;0,00;0,00
394;2,6;2,71;0,00;0,00;0,00;0,00
395;1,3;2,93;0,00;0,00;0,35;0,35
396;0,4;2,98;0,00;0,00;0,53;0,53
397;1,9;3,23;0,00;0,00;0,57;0,57
398;2,9;3,27;0,00;0,00;0,13;0,13
399;2,6;3,07;0,00;0,00;0,70;0,70
400;1,6;2,92;0,00;0,00;0,62;0,62
401;0,1;2,73;0,00;0,34;0,00;0,34
402;0,3;2,78;0,00;0,23;0,00;0,23
403;0,6;2,75;0,00;0,00;0,66;0,66
404;1;2,68;0,00;0,00;0,69;0,69
405;1,3;2,67;0,00;0,00;0,50;0,50
406;1,7;2,62;0,00;0,16;0,00;0,16
407;2;2,73;0,00;0,21;0,00;0,21
408;2,4;2,66;0,00;0,00;0,00;0,00
409;2,7;2,74;0,00;35,87;0,00;35,87
410;3,1;2,69;0,00;123,84;0,00;123,84
411;3,5;2,82;0,00;125,99;0,00;125,99
412;3,7;2,87;0,00;127,06;0,00;127,06
413;3,9;2,86;0,00;128,13;0,00;128,13
414;4,1;2,87;0,00;129,21;0,00;129,21
415;4,3;2,78;0,00;118,73;0,00;118,73
416;4,4;2,7;0,00;109,09;0,00;109,09
417;3,6;2,72;0,00;0,00;0,19;0,19
418;0,8;2,9;0,00;0,00;0,70;0,70
419;1,2;2,94;0,00;0,00;0,75;0,75
420;3,6;3,04;0,00;0,00;1,50;1,50
421;5,1;3,13;0,00;0,00;1,08;1,08
422;5,1;3,04;0,00;0,00;0,81;0,81
423;5;2,96;0,00;0,00;0,61;0,61
424;3,7;2,99;0,00;0,00;0,42;0,42
425;2,1;2,84;0,00;0,20;0,00;0,20
426;1,7;2,91;0,00;0,23;0,00;0,23
427;1,4;2,86;0,00;0,00;0,00;0,00
428;1;2,79;0,00;0,00;0,00;0,00
429;0,6;2,86;0,00;0,00;0,00;0,00
430;0,2;2,81;0,00;0,12;0,00;0,12
431;0,1;2,87;0,00;0,00;0,00;0,00
432;0,5;3,03;0,00;0,00;0,00;0,00
433;0,9;2,87;0,00;0,00;0,00;0,00
434;1,3;2,83;0,00;0,00;0,00;0,00
435;1,7;2,94;0,00;0,00;0,00;0,00
436;1,9;2,85;0,00;26,22;0,00;26,22
437;2,1;2,8;0,00;118,48;0,00;118,48
438;2,2;2,89;0,00;119,02;0,00;119,02
439;2,3;2,93;0,00;111,57;0,00;111,57
440;2,3;2,92;0,00;92,53;0,00;92,53
441;1,5;2,93;0,00;0,00;0,78;0,78
442;0;2,83;0,00;0,00;0,39;0,39
443;1,5;2,92;0,00;0,00;0,52;0,52
444;3,3;3,09;0,00;0,00;1,12;1,12
445;4,6;3,19;0,00;0,00;0,92;0,92
446;6,2;3,21;0,00;0,00;1,10;1,10
447;6,9;3,37;0,00;0,00;0,82;0,82
448;6,9;3,29;0,00;0,00;1,13;1,13
449;5,4;3,2;0,00;0,00;0,00;0,00
450;4,8;3,32;0,00;0,00;0,00;0,00
451;4,3;3,28;0,00;0,00;0,00;0,00
452;3,7;3,4;0,00;0,00;0,00;0,00
453;3,1;3,18;0,00;0,00;0,00;0,00
454;2,5;3,26;0,00;0,00;0,00;0,00
455;1,9;3,31;0,00;0,11;0,00;0,11
456;1,4;3,11;0,00;0,00;0,00;0,00
457;0,7;3,11;0,00;0,00;0,00;0,00
458;0,1;3,13;0,00;0,00;0,00;0,00
459;0,5;3,08;0,00;0,00;0,00;0,00
460;0,9;3,03;0,00;0,00;0,00;0,00
461;1,2;2,94;0,00;0,00;0,00;0,00
462;1,4;2,98;0,00;31,30;0,00;31,30
463;1,7;3,16;0,00;104,39;0,00;104,39
464;1,7;3,03;0,00;89,74;0,00;89,74
465;1,3;3,04;0,00;0,00;0,40;0,40
466;0,6;3,31;0,00;0,00;0,28;0,28
467;0,9;3,68;0,00;0,00;0,71;0,71
468;1,6;3,67;0,00;0,00;0,68;0,68
469;1,8;3,64;0,00;0,00;0,47;0,47
470;3,1;3,79;0,00;0,00;0,80;0,80
471;4;3,72;0,00;0,00;0,65;0,65
472;4,3;3,73;0,00;0,00;1,02;1,02
473;3,5;3,5;0,00;0,12;0,00;0,12
474;2,9;3,48;0,00;0,17;0,00;0,17
475;2,3;3,53;0,00;0,00;0,00;0,00
476;1,7;3,68;0,00;0,00;0,00;0,00
477;1,1;3,57;0,00;0,16;0,00;0,16
478;0,4;3,45;0,00;0,14;0,00;0,14
479;0,2;3,45;0,00;0,00;0,00;0,00
480;0,8;3,57;0,00;0,00;0,00;0,00
481;1,3;3,44;0,00;0,00;0,00;0,00
482;1,9;3,51;0,00;0,00;0,00;0,00
483;2,5;3,37;0,00;71,45;0,00;71,45
484;2,7;3,29;0,00;121,70;0,00;121,70
485;3;3,23;0,00;123,31;0,00;123,31
486;3,2;3,18;0,00;124,38;0,00;124,38
487;3,4;3,13;0,00;117,62;0,00;117,62
488;3,4;3,13;0,00;103,42;0,00;103,42
489;1,8;3,52;0,00;0,00;1,66;1,66
490;0,9;3,81;0,00;0,00;1,00;1,00
491;3,7;4,01;0,00;0,00;1,26;1,26
492;6,2;3,88;0,00;0,00;1,74;1,74
493;8;4,12;0,00;0,00;1,39;1,39
494;9;4,12;0,00;0,00;1,29;1,29
495;9,2;4,27;0,00;0,00;0,88;0,88
496;8,4;4,12;0,00;0,00;1,05;1,05
497;6,5;3,83;0,00;0,00;0,34;0,34
498;5,9;3,81;0,00;0,00;0,00;0,00
499;5,2;3,89;0,00;0,00;1,07;1,07
500;4,5;3,87;0,00;0,00;1,06;1,06
501;3,8;3,65;0,00;0,00;0,77;0,77
502;3,1;3,74;0,00;0,00;0,00;0,00
503;2,4;3,75;0,00;0,00;0,00;0,00
504;1,8;3,75;0,00;0,00;0,00;0,00
505;1,1;3,69;0,00;0,00;0,00;0,00
506;0,4;3,65;0,00;0,00;0,00;0,00
507;0,3;3,48;0,00;0,00;0,00;0,00
508;0,6;3,56;0,00;0,00;0,00;0,00
509;1;3,48;0,00;0,00;0,00;0,00
510;1,2;3,56;0,00;0,00;0,00;0,00
511;1,5;3,48;0,00;0,00;0,00;0,00
512;1,5;3,5;0,00;0,17;0,00;0,17
513;0,1;3,64;0,00;0,00;1,31;1,31
514;2,8;4,04;0,00;0,00;1,01;1,01
515;5,6;4,22;0,00;0,00;1,15;1,15
516;8;4,29;0,00;0,00;1,72;1,72
517;9,8;4,33;0,00;0,00;1,26;1,26
518;10,9;4,34;0,00;0,00;1,55;1,55
519;11,2;4,74;0,00;0,00;0,93;0,93
520;10,5;4,67;0,00;0,00;1,14;1,14
521;8,6;4,9;0,00;0,00;0,42;0,42
522;7,8;4,75;0,00;0,00;0,00;0,00
523;7;4,95;0,00;0,00;0,98;0,98
524;6,2;4,68;0,00;0,00;0,81;0,81
525;5,4;4,6;0,00;0,00;0,55;0,55
526;4,6;4,41;0,00;0,00;0,55;0,55
527;3,8;4,18;0,00;0,00;0,00;0,00
528;3,1;4,16;0,00;0,00;0,00;0,00
529;2,3;4,13;0,00;0,00;0,00;0,00
530;1,6;4,11;0,00;0,00;0,00;0,00
531;0,8;4,02;0,00;0,00;0,00;0,00
532;0,5;4,06;0,00;0,00;0,00;0,00
533;0,1;4,01;0,00;0,00;0,00;0,00
534;0,2;3,84;0,00;0,00;0,00;0,00
535;0,4;3,72;0,00;0,00;0,00;0,00
536;0,8;3,73;0,00;0,00;0,00;0,00
537;0,2;3,76;0,00;0,20;0,00;0,20
538;0,5;3,83;0,00;0,00;0,00;0,00
539;1;3,83;0,00;0,19;0,00;0,19
