 TIME                    	Delta_Energy             	Result                   	Result                   	label                    	
 HOURS              	°C                  	°C                  	kJ/h                	kJ/h                	
  +3.3000000000000000E+01	  +2.0360380462339937E+12	  +2.3705460028704772E+02	  +2.0360380459969390E+12	  +0.0000000000000000E+00	
  +3.4000000000000000E+01	  +4.0720760924679893E+12	  +2.3705553238567748E+02	  +4.0720760922309336E+12	  +0.0000000000000000E+00	
  +3.5000000000000000E+01	  +8.1441521849359805E+12	  +2.3705646512124315E+02	  +8.1441521846989238E+12	  +0.0000000000000000E+00	
  +3.6000000000000000E+01	  +1.6288304369871963E+13	  +2.3705739849326488E+02	  +1.6288304369634906E+13	  +0.0000000000000000E+00	
  +3.7000000000000000E+01	  +3.2576608739743930E+13	  +2.3705833250126250E+02	  +3.2576608739506871E+13	  +0.0000000000000000E+00	
  +3.8000000000000000E+01	  +6.5153217479487859E+13	  +2.3705926714475552E+02	  +6.5153217479250797E+13	  +0.0000000000000000E+00	
  +3.9000000000000000E+01	  +1.3030643495897572E+14	  +2.3706020242326306E+02	  +1.3030643495873866E+14	  +0.0000000000000000E+00	
  +4.0000000000000000E+01	  +2.6061286991795144E+14	  +2.3706113833630400E+02	  +2.6061286991771438E+14	  +0.0000000000000000E+00	
  +4.1000000000000000E+01	  +5.2122573983590288E+14	  +2.3706207488339680E+02	  +5.2122573983566581E+14	  +0.0000000000000000E+00	
  +4.2000000000000000E+01	  +1.0424514796718059E+15	  +2.3706301206405968E+02	  +1.0424514796715688E+15	  +0.0000000000000000E+00	
  +4.3000000000000000E+01	  +2.0849029593436115E+15	  +2.3706394987781047E+02	  +2.0849029593433745E+15	  +0.0000000000000000E+00	
  +4.4000000000000000E+01	  +4.1698059186872230E+15	  +2.3706488832416676E+02	  +4.1698059186869860E+15	  +0.0000000000000000E+00	
  +4.5000000000000000E+01	  +8.3396118373744460E+15	  +2.3706582740264568E+02	  +8.3396118373742090E+15	  +0.0000000000000000E+00	
  +4.6000000000000000E+01	  +1.6679223674748894E+16	  +2.3706676711276418E+02	  +1.6679223674748656E+16	  +0.0000000000000000E+00	
  +4.7000000000000000E+01	  +3.3358447349497788E+16	  +2.3706770745403878E+02	  +3.3358447349497552E+16	  +0.0000000000000000E+00	
  +4.8000000000000000E+01	  +6.6716894698995584E+16	  +2.3706864842598571E+02	  +6.6716894698995344E+16	  +0.0000000000000000E+00	
  +4.9000000000000000E+01	  +1.3343378939799117E+17	  +2.3706959002812090E+02	  +1.3343378939799093E+17	  +0.0000000000000000E+00	
  +5.0000000000000000E+01	  +2.6686757879598230E+17	  +2.3707053225995992E+02	  +2.6686757879598208E+17	  +0.0000000000000000E+00	
  +5.1000000000000000E+01	  +5.3373515759196467E+17	  +2.3707147512101801E+02	  +5.3373515759196442E+17	  +0.0000000000000000E+00	
  +5.2000000000000000E+01	  +1.0674703151839293E+18	  +2.3707241861081019E+02	  +1.0674703151839291E+18	  +0.0000000000000000E+00	
  +5.3000000000000000E+01	  +2.1349406303678587E+18	  +2.3707336272885095E+02	  +2.1349406303678584E+18	  +0.0000000000000000E+00	
  +5.4000000000000000E+01	  +4.2698812607357174E+18	  +2.3707430747465469E+02	  +4.2698812607357174E+18	  +0.0000000000000000E+00	
  +5.5000000000000000E+01	  +8.5397625214714348E+18	  +2.3707525284773527E+02	  +8.5397625214714348E+18	  +0.0000000000000000E+00	
  +5.6000000000000000E+01	  +1.7079525042942870E+19	  +2.3707619884760643E+02	  +1.7079525042942870E+19	  +0.0000000000000000E+00	
  +5.7000000000000000E+01	  +3.4159050085885739E+19	  +2.3707714547378143E+02	  +3.4159050085885739E+19	  +0.0000000000000000E+00	
  +5.8000000000000000E+01	  +6.8318100171771478E+19	  +2.3707809272577330E+02	  +6.8318100171771478E+19	  +0.0000000000000000E+00	
  +5.9000000000000000E+01	  +1.3663620034354296E+20	  +2.3707904060309471E+02	  +1.3663620034354296E+20	  +0.0000000000000000E+00	
  +6.0000000000000000E+01	  +2.7327240068708591E+20	  +2.3707998910525802E+02	  +2.7327240068708591E+20	  +0.0000000000000000E+00	
  +6.1000000000000000E+01	  +5.4654480137417182E+20	  +2.3708093823177524E+02	  +5.4654480137417182E+20	  +0.0000000000000000E+00	
